col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
26,73,9,98,58,50,34,41,61
58,71,44,31,95,19,53,87,7
57,52,16,63,62,10,42,97,29
93,18,81,45,41,19,68,18,72
76,62,59,60,25,66,56,99,65
33,22,7,5,12,27,57,90,60
15,30,43,56,81,3,44,75,66
76,46,62,72,52,6,33,52,50
87,11,48,36,63,82,90,50,64
6,84,21,63,65,34,59,4,68
11,25,7,22,86,97,23,64,76
84,65,68,51,86,14,79,94,56
92,68,69,46,11,47,53,95,28
81,89,37,2,71,75,69,43,53
21,88,82,59,17,8,55,80,67
79,54,77,68,2,67,80,65,62
39,0,71,36,40,36,53,63,56
40,96,25,97,68,46,1,6,6
48,92,89,85,21,98,54,23,59
15,18,70,36,61,76,91,93,63
4,12,97,33,59,76,4,49,15
81,13,98,50,42,6,63,28,84
56,58,77,71,11,26,42,89,29
91,96,20,80,42,58,61,32,85
54,89,32,80,44,46,92,91,88
16,89,45,76,76,51,3,8,20
34,27,80,93,99,15,86,5,4
13,51,41,0,22,17,11,12,47
42,55,78,93,5,51,86,26,33
64,34,4,43,29,8,73,26,78
37,61,52,56,11,40,27,39,13
26,69,31,5,35,77,26,63,7
65,68,22,99,57,78,97,91,7
98,62,21,29,13,65,10,39,76
76,76,42,90,23,0,40,45,10
6,96,97,61,42,74,14,89,83
93,54,25,49,57,92,69,53,11
46,52,97,60,52,24,42,45,3
95,78,88,74,0,3,5,10,1
73,8,92,13,46,14,55,36,92
99,56,7,49,89,43,0,25,87
8,95,55,48,52,40,25,25,11
46,5,0,51,51,77,39,13,68
76,33,62,12,86,49,36,22,40
50,98,61,36,58,40,16,41,9
62,15,84,17,75,19,66,44,39
82,84,48,2,3,37,70,53,17
68,62,19,18,49,49,21,4,24
11,23,59,18,50,40,84,30,6
89,82,89,31,78,57,81,77,44
62,36,85,8,19,67,72,24,42
35,72,55,90,49,31,29,42,28
99,59,40,53,4,83,91,29,5
53,91,88,34,31,75,77,97,66
65,66,14,74,11,98,16,47,43
76,80,64,7,5,68,32,17,37
73,74,34,60,9,92,18,77,31
74,23,25,16,63,48,86,0,67
34,42,8,49,83,40,35,68,61
2,70,30,9,32,2,19,17,60
20,1,26,25,54,88,26,95,73
77,93,7,10,93,55,60,32,88
78,31,65,16,25,0,9,63,64
18,12,92,11,56,49,86,84,13
8,8,53,92,41,74,38,69,47
75,80,63,75,55,49,5,43,16
53,4,60,6,29,66,22,53,68
42,95,35,11,64,60,40,15,56
22,11,74,94,35,11,47,73,71
44,43,86,46,45,40,85,66,95
16,24,23,63,5,7,73,1,70
10,51,43,22,71,80,91,48,32
69,15,84,90,35,62,73,49,14
46,45,18,27,98,28,78,40,59
60,23,23,0,21,60,27,22,23
21,72,96,75,47,70,97,63,50
48,16,81,26,96,8,92,49,13
55,41,56,97,56,4,97,10,71
35,31,39,30,30,18,14,57,79
32,10,99,98,39,89,2,29,89
13,41,17,32,90,92,77,56,1
75,78,39,34,2,70,3,87,91
56,16,66,21,39,83,80,71,77
45,8,17,96,81,91,45,45,43
18,92,72,99,42,76,13,80,99
8,85,9,64,34,35,13,82,91
65,71,83,5,96,48,72,71,96
84,66,32,10,16,9,5,72,84
48,98,85,29,68,35,87,67,8
10,45,27,69,4,98,79,18,92
37,69,51,17,95,47,18,87,32
3,85,83,95,13,61,25,56,80
20,86,5,78,46,32,87,87,7
98,84,45,41,45,34,78,2,15
18,46,2,65,73,28,14,11,61
53,7,50,50,66,3,4,13,9
12,29,99,22,1,75,36,0,74
73,47,77,33,88,53,94,71,14
93,3,39,37,41,35,3,8,66
2,97,58,2,75,41,92,81,92
